"Index Name","Date","Open","High","Low","Close"
"NIFTY500 VALUE 50","22 Feb 2024","-","-","-","12998.35"
"NIFTY500 VALUE 50","21 Feb 2024","-","-","-","12907.33"
"NIFTY500 VALUE 50","20 Feb 2024","-","-","-","13081.25"
"NIFTY500 VALUE 50","19 Feb 2024","-","-","-","13048.45"
"NIFTY500 VALUE 50","16 Feb 2024","-","-","-","13024.42"
"NIFTY500 VALUE 50","15 Feb 2024","-","-","-","13046.40"
"NIFTY500 VALUE 50","14 Feb 2024","-","-","-","12756.22"
"NIFTY500 VALUE 50","13 Feb 2024","-","-","-","12384.69"
"NIFTY500 VALUE 50","12 Feb 2024","-","-","-","12355.49"
"NIFTY500 VALUE 50","09 Feb 2024","-","-","-","12854.60"
"NIFTY500 VALUE 50","08 Feb 2024","-","-","-","13044.00"
"NIFTY500 VALUE 50","07 Feb 2024","-","-","-","12977.02"
"NIFTY500 VALUE 50","06 Feb 2024","-","-","-","12954.25"
"NIFTY500 VALUE 50","05 Feb 2024","-","-","-","12760.34"
"NIFTY500 VALUE 50","02 Feb 2024","-","-","-","12622.82"
"NIFTY500 VALUE 50","01 Feb 2024","-","-","-","12278.59"
"NIFTY500 VALUE 50","31 Jan 2024","-","-","-","12254.01"
"NIFTY500 VALUE 50","30 Jan 2024","-","-","-","12091.46"
"NIFTY500 VALUE 50","29 Jan 2024","-","-","-","12096.65"
"NIFTY500 VALUE 50","25 Jan 2024","-","-","-","11753.21"
"NIFTY500 VALUE 50","24 Jan 2024","-","-","-","11707.84"
"NIFTY500 VALUE 50","23 Jan 2024","-","-","-","11365.18"
"NIFTY500 VALUE 50","20 Jan 2024","-","-","-","11836.95"
"NIFTY500 VALUE 50","19 Jan 2024","-","-","-","11723.74"
"NIFTY500 VALUE 50","18 Jan 2024","-","-","-","11496.89"
"NIFTY500 VALUE 50","17 Jan 2024","-","-","-","11532.91"
"NIFTY500 VALUE 50","16 Jan 2024","-","-","-","11738.58"
"NIFTY500 VALUE 50","15 Jan 2024","-","-","-","11682.07"
"NIFTY500 VALUE 50","12 Jan 2024","-","-","-","11569.03"
"NIFTY500 VALUE 50","11 Jan 2024","-","-","-","11470.74"
"NIFTY500 VALUE 50","10 Jan 2024","-","-","-","11378.93"
"NIFTY500 VALUE 50","09 Jan 2024","-","-","-","11424.08"
"NIFTY500 VALUE 50","08 Jan 2024","-","-","-","11398.34"
"NIFTY500 VALUE 50","05 Jan 2024","-","-","-","11522.58"
"NIFTY500 VALUE 50","04 Jan 2024","-","-","-","11540.30"
"NIFTY500 VALUE 50","03 Jan 2024","-","-","-","11445.22"
"NIFTY500 VALUE 50","02 Jan 2024","-","-","-","11473.96"
"NIFTY500 VALUE 50","01 Jan 2024","-","-","-","11457.93"
"NIFTY500 VALUE 50","29 Dec 2023","-","-","-","11364.37"
"NIFTY500 VALUE 50","28 Dec 2023","-","-","-","11411.27"
"NIFTY500 VALUE 50","27 Dec 2023","-","-","-","11176.81"
"NIFTY500 VALUE 50","26 Dec 2023","-","-","-","11137.80"
"NIFTY500 VALUE 50","22 Dec 2023","-","-","-","11003.11"
"NIFTY500 VALUE 50","21 Dec 2023","-","-","-","10949.60"
"NIFTY500 VALUE 50","20 Dec 2023","-","-","-","10723.29"
"NIFTY500 VALUE 50","19 Dec 2023","-","-","-","11190.34"
"NIFTY500 VALUE 50","18 Dec 2023","-","-","-","11157.38"
"NIFTY500 VALUE 50","15 Dec 2023","-","-","-","11155.33"
"NIFTY500 VALUE 50","14 Dec 2023","-","-","-","11026.24"
"NIFTY500 VALUE 50","13 Dec 2023","-","-","-","10934.27"
"NIFTY500 VALUE 50","12 Dec 2023","-","-","-","10678.13"
"NIFTY500 VALUE 50","11 Dec 2023","-","-","-","10713.97"
"NIFTY500 VALUE 50","08 Dec 2023","-","-","-","10648.66"
"NIFTY500 VALUE 50","07 Dec 2023","-","-","-","10658.29"
"NIFTY500 VALUE 50","06 Dec 2023","-","-","-","10625.66"
"NIFTY500 VALUE 50","05 Dec 2023","-","-","-","10562.45"
"NIFTY500 VALUE 50","04 Dec 2023","-","-","-","10455.48"
"NIFTY500 VALUE 50","01 Dec 2023","-","-","-","10186.26"
"NIFTY500 VALUE 50","30 Nov 2023","-","-","-","9988.46"
"NIFTY500 VALUE 50","29 Nov 2023","-","-","-","9914.37"
"NIFTY500 VALUE 50","28 Nov 2023","-","-","-","9839.18"
"NIFTY500 VALUE 50","24 Nov 2023","-","-","-","9684.04"
"NIFTY500 VALUE 50","23 Nov 2023","-","-","-","9730.27"
"NIFTY500 VALUE 50","22 Nov 2023","-","-","-","9682.79"
"NIFTY500 VALUE 50","21 Nov 2023","-","-","-","9696.81"
"NIFTY500 VALUE 50","20 Nov 2023","-","-","-","9708.77"
"NIFTY500 VALUE 50","17 Nov 2023","-","-","-","9686.36"
"NIFTY500 VALUE 50","16 Nov 2023","-","-","-","9704.58"
"NIFTY500 VALUE 50","15 Nov 2023","-","-","-","9681.19"
"NIFTY500 VALUE 50","13 Nov 2023","-","-","-","9610.41"
"NIFTY500 VALUE 50","12 Nov 2023","-","-","-","9510.88"
"NIFTY500 VALUE 50","10 Nov 2023","-","-","-","9425.87"
"NIFTY500 VALUE 50","09 Nov 2023","-","-","-","9328.97"
"NIFTY500 VALUE 50","08 Nov 2023","-","-","-","9292.74"
"NIFTY500 VALUE 50","07 Nov 2023","-","-","-","9242.45"
"NIFTY500 VALUE 50","06 Nov 2023","-","-","-","9166.35"
"NIFTY500 VALUE 50","03 Nov 2023","-","-","-","9087.37"
"NIFTY500 VALUE 50","02 Nov 2023","-","-","-","9035.77"
"NIFTY500 VALUE 50","01 Nov 2023","-","-","-","8859.14"
"NIFTY500 VALUE 50","31 Oct 2023","-","-","-","8882.40"
"NIFTY500 VALUE 50","30 Oct 2023","-","-","-","8838.43"
"NIFTY500 VALUE 50","27 Oct 2023","-","-","-","8797.41"
"NIFTY500 VALUE 50","26 Oct 2023","-","-","-","8641.29"
"NIFTY500 VALUE 50","25 Oct 2023","-","-","-","8745.16"
"NIFTY500 VALUE 50","23 Oct 2023","-","-","-","8795.41"
"NIFTY500 VALUE 50","20 Oct 2023","-","-","-","9044.86"
"NIFTY500 VALUE 50","19 Oct 2023","-","-","-","9180.76"
"NIFTY500 VALUE 50","18 Oct 2023","-","-","-","9172.88"
"NIFTY500 VALUE 50","17 Oct 2023","-","-","-","9274.36"
"NIFTY500 VALUE 50","16 Oct 2023","-","-","-","9211.70"
"NIFTY500 VALUE 50","13 Oct 2023","-","-","-","9143.13"
"NIFTY500 VALUE 50","12 Oct 2023","-","-","-","9157.46"
"NIFTY500 VALUE 50","11 Oct 2023","-","-","-","9082.48"
"NIFTY500 VALUE 50","10 Oct 2023","-","-","-","9047.67"
"NIFTY500 VALUE 50","09 Oct 2023","-","-","-","8876.48"
"NIFTY500 VALUE 50","06 Oct 2023","-","-","-","9018.35"
"NIFTY500 VALUE 50","05 Oct 2023","-","-","-","8963.14"
"NIFTY500 VALUE 50","04 Oct 2023","-","-","-","8996.66"
"NIFTY500 VALUE 50","03 Oct 2023","-","-","-","9165.85"
"NIFTY500 VALUE 50","29 Sep 2023","-","-","-","9179.96"
"NIFTY500 VALUE 50","28 Sep 2023","-","-","-","8977.32"
"NIFTY500 VALUE 50","27 Sep 2023","-","-","-","9072.76"
"NIFTY500 VALUE 50","26 Sep 2023","-","-","-","9021.15"
"NIFTY500 VALUE 50","25 Sep 2023","-","-","-","9036.32"
"NIFTY500 VALUE 50","22 Sep 2023","-","-","-","9011.95"
"NIFTY500 VALUE 50","21 Sep 2023","-","-","-","8960.95"
"NIFTY500 VALUE 50","20 Sep 2023","-","-","-","9045.23"
"NIFTY500 VALUE 50","18 Sep 2023","-","-","-","9077.91"
"NIFTY500 VALUE 50","15 Sep 2023","-","-","-","9011.80"
"NIFTY500 VALUE 50","14 Sep 2023","-","-","-","9039.20"
"NIFTY500 VALUE 50","13 Sep 2023","-","-","-","8915.53"
"NIFTY500 VALUE 50","12 Sep 2023","-","-","-","8770.13"
"NIFTY500 VALUE 50","11 Sep 2023","-","-","-","9112.07"
"NIFTY500 VALUE 50","08 Sep 2023","-","-","-","9005.52"
"NIFTY500 VALUE 50","07 Sep 2023","-","-","-","8844.05"
"NIFTY500 VALUE 50","06 Sep 2023","-","-","-","8751.33"
"NIFTY500 VALUE 50","05 Sep 2023","-","-","-","8806.40"
"NIFTY500 VALUE 50","04 Sep 2023","-","-","-","8753.91"
"NIFTY500 VALUE 50","01 Sep 2023","-","-","-","8563.24"
"NIFTY500 VALUE 50","31 Aug 2023","-","-","-","8385.80"
"NIFTY500 VALUE 50","30 Aug 2023","-","-","-","8456.62"
"NIFTY500 VALUE 50","29 Aug 2023","-","-","-","8446.05"
"NIFTY500 VALUE 50","28 Aug 2023","-","-","-","8421.52"
"NIFTY500 VALUE 50","25 Aug 2023","-","-","-","8338.71"
"NIFTY500 VALUE 50","24 Aug 2023","-","-","-","8405.67"
"NIFTY500 VALUE 50","23 Aug 2023","-","-","-","8433.50"
"NIFTY500 VALUE 50","22 Aug 2023","-","-","-","8380.87"
"NIFTY500 VALUE 50","21 Aug 2023","-","-","-","8364.63"
"NIFTY500 VALUE 50","18 Aug 2023","-","-","-","8306.55"
"NIFTY500 VALUE 50","17 Aug 2023","-","-","-","8365.92"
"NIFTY500 VALUE 50","16 Aug 2023","-","-","-","8341.38"
"NIFTY500 VALUE 50","14 Aug 2023","-","-","-","8323.54"
"NIFTY500 VALUE 50","11 Aug 2023","-","-","-","8386.33"
